code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount,self_employment_income_amount,employment_income_amount,pension_income_amount,total_income_amount
E06000037,West Berkshire UA,10000.0,33100.0,17200.0,70000.0,42900.0,27900.0,25000.0,22500.0,17700.0,92000.0,46800.0,30600.0,92000.0,9210.0,3110.0,847320000.0,331000000.0,3003000000.0,562500000.0,4305600000.0
E06000038,Reading UA,8000.0,23200.0,16300.0,70000.0,39900.0,29800.0,13000.0,21400.0,18100.0,84000.0,41100.0,30400.0,84000.0,7200.0,3250.0,604800000.0,185600000.0,2793000000.0,278200000.0,3452400000.0
E06000039,Slough UA,9000.0,19200.0,16500.0,57000.0,33300.0,27300.0,8000.0,15300.0,14000.0,67000.0,34600.0,27700.0,67000.0,4920.0,2740.0,329640000.0,172800000.0,1898100000.0,122400000.0,2318200000.0
E06000040,Windsor and Maidenhead UA,9000.0,37800.0,15900.0,66000.0,59500.0,34500.0,23000.0,26000.0,20100.0,88000.0,61800.0,35700.0,88000.0,14900.0,4050.0,1311200000.0,340200000.0,3927000000.0,598000000.0,5438400000.0
E06000041,Wokingham UA,9000.0,28900.0,17300.0,73000.0,52500.0,34700.0,22000.0,25000.0,21400.0,95000.0,53200.0,35800.0,95000.0,11500.0,4080.0,1092500000.0,260100000.0,3832500000.0,550000000.0,5054000000.0
E06000042,Milton Keynes UA,14000.0,20600.0,15500.0,119000.0,37000.0,27900.0,27000.0,19200.0,16100.0,143000.0,38600.0,29200.0,143000.0,6280.0,2950.0,898040000.0,288400000.0,4403000000.0,518400000.0,5519800000.0
E06000043,Brighton and Hove UA,20000.0,25300.0,17200.0,102000.0,38800.0,27900.0,28000.0,19500.0,16300.0,134000.0,42100.0,29700.0,134000.0,7360.0,2950.0,986240000.0,506000000.0,3957600000.0,546000000.0,5641400000.0
E06000044,Portsmouth UA,11000.0,21700.0,18700.0,74000.0,30400.0,24900.0,21000.0,17900.0,16100.0,95000.0,31900.0,25500.0,95000.0,4130.0,2360.0,392350000.0,238700000.0,2249600000.0,375900000.0,3030500000.0
E06000045,Southampton UA,12000.0,20500.0,16500.0,93000.0,29900.0,25600.0,22000.0,17100.0,15100.0,115000.0,30900.0,25500.0,115000.0,3870.0,2370.0,445050000.0,246000000.0,2780700000.0,376200000.0,3553500000.0
E06000046,Isle of Wight UA,8000.0,21500.0,15900.0,45000.0,27900.0,22400.0,24000.0,19700.0,16600.0,66000.0,31500.0,24800.0,66000.0,4160.0,2120.0,274560000.0,172000000.0,1255500000.0,472800000.0,2079000000.0
