code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E07000099,North Hertfordshire,9,"32,700","17,600",58,"44,500","31,400",20,"22,900","18,900",77,"46,500","31,700",77,"9,080","3,420",698
E07000240,St Albans,11,"62,300","15,500",64,"65,400","35,200",22,"24,800","19,800",86,"68,700","35,700",86,"17,800","4,070","1,540"
E07000243,Stevenage,5,"20,300","17,200",36,"34,900","29,700",8,"19,400","17,800",45,"35,900","30,300",45,"5,110","3,200",229
E07000102,Three Rivers,7,"38,400","18,000",37,"49,900","29,700",11,"24,900","20,300",49,"55,800","33,200",49,"12,400","3,490",610
E07000103,Watford,5,"28,500","19,400",43,"39,700","31,200",9,"19,300","17,200",53,"40,500","31,300",53,"6,770","3,330",361
E07000241,Welwyn Hatfield,6,"32,800","17,300",45,"44,600","30,300",13,"21,900","17,900",57,"48,200","31,400",57,"9,750","3,400",560
E10000020,Norfolk County,52,"24,400","16,000",319,"30,500","25,000",145,"19,300","16,600",456,"32,900","25,400",456,"4,600","2,310","2,100"
E07000143,Breckland,8,"24,500","18,000",50,"29,800","24,900",23,"18,600","16,800",72,"31,500","24,900",72,"4,220","2,230",305
E07000144,Broadland,8,"27,400","17,400",47,"31,000","24,500",24,"18,800","17,200",69,"33,900","25,100",69,"4,930","2,240",339
E07000145,Great Yarmouth,5,"19,600","15,100",33,"27,100","24,200",16,"18,000","16,300",48,"28,500","23,800",48,"3,280","2,090",158
E07000146,King's Lynn and West Norfolk,9,"27,000","15,900",54,"29,300","23,600",24,"18,600","16,000",75,"32,700","24,900",75,"4,610","2,230",348
E07000147,North Norfolk,7,"22,600","15,800",32,"28,900","22,200",20,"20,700","16,800",50,"32,500","24,000",50,"4,540","2,060",226
E07000148,Norwich,7,"23,700","15,400",52,"31,100","26,100",14,"18,700","16,000",67,"32,500","25,900",67,"4,360","2,440",290
E07000149,South Norfolk,9,"23,500","15,500",52,"34,500","27,600",24,"21,000","17,800",75,"37,000","28,200",75,"5,780","2,770",432
E10000029,Suffolk County,43,"25,700","16,200",272,"32,800","25,100",122,"20,100","17,000",383,"35,500","25,900",383,"5,460","2,400","2,090"
E07000200,Babergh,6,"33,100","14,300",35,"35,000","25,300",17,"21,200","18,300",50,"39,600","27,200",50,"6,770","2,640",338
E07000244,East Suffolk,14,"23,500","15,400",79,"33,100","24,500",45,"20,500","17,500",121,"35,500","25,200",121,"5,610","2,280",679
E07000202,Ipswich,6,"22,000","18,000",55,"30,000","24,800",17,"18,400","16,000",71,"30,500","24,400",71,"3,880","2,140",276
E07000203,Mid Suffolk,6,"24,700","14,800",37,"34,400","26,300",20,"19,300","16,300",53,"37,700","28,000",53,"5,970","2,710",317
E07000245,West Suffolk,11,"27,000","18,400",65,"32,700","25,800",24,"20,300","17,200",88,"35,900","26,400",88,"5,470","2,550",484
E12000007,London,612,"51,000","17,900","3,500","52,700","32,000",638,"21,300","16,900","4,310","58,300","32,900","4,310","13,800","3,650","59,300"
E09000002,Barking and Dagenham,17,"21,100","19,400",73,"31,000","27,600",9,"14,800","14,200",90,"31,800","28,000",90,"3,910","2,820",352
E09000003,Barnet,33,"46,900","19,000",144,"51,400","31,000",36,"21,300","17,400",190,"59,100","33,500",190,"13,700","3,600","2,610"
E09000004,Bexley,14,"22,000","18,300",103,"38,000","29,800",33,"18,400","17,200",135,"38,000","29,300",135,"6,040","3,020",813
E09000005,Brent,27,"30,400","18,300",118,"41,400","29,000",19,"18,100","15,900",149,"44,100","30,000",149,"8,370","3,200","1,250"
E09000006,Bromley,21,"39,100","17,100",132,"52,800","35,500",43,"24,200","20,300",176,"54,500","35,800",176,"12,000","4,080","2,110"
E09000007,Camden,16,"176,000","18,100",87,"84,400","36,800",16,"26,500","16,900",108,"119,000","38,900",108,"37,800","4,790","4,080"
