code,name,self_employment_income_count,self_employment_income_mean,self_employment_income_median,employment_income_count,employment_income_mean,employment_income_median,pension_income_count,pension_income_mean,pension_income_median,total_income_count,total_income_mean,total_income_median,total_tax_count,total_tax_mean,total_tax_median,total_tax_amount
E14000677,Easington,2,"18,500","15,400",30,"27,000","23,800",11,"16,000","14,700",38,"27,200","23,300",38,"2,940","1,950",112
E14000678,East Devon,7,"25,000","16,800",38,"31,900","25,800",20,"22,100","17,500",57,"36,000","27,800",57,"5,290","2,690",302
E14000679,East Ham,12,"21,100","19,300",54,"34,700","28,100",4,"13,800","12,600",64,"34,900","28,200",64,"5,170","2,930",333
E14000680,East Hampshire,8,"32,100","16,600",37,"44,200","28,200",19,"24,800","19,500",56,"48,100","31,100",56,"9,800","3,110",548
E14000681,East Surrey,8,"42,000","16,200",46,"52,100","32,200",17,"23,700","19,900",62,"54,900","33,400",62,"12,400","3,610",771
E14000682,East Worthing and Shoreham,6,"21,900","17,600",34,"35,600","27,900",15,"20,100","17,800",50,"35,800","27,700",50,"5,370","2,690",266
E14000683,East Yorkshire,6,"22,900","16,700",35,"30,900","24,100",19,"19,200","16,300",52,"33,200","25,300",52,"4,720","2,200",245
E14000684,Eastbourne,7,"19,600","15,200",33,"28,200","22,500",18,"21,400","18,200",52,"31,300","24,100",52,"3,990","2,020",208
E14000685,Eastleigh,7,"22,900","17,800",49,"34,800","28,900",14,"19,000","17,300",62,"36,800","29,600",62,"5,460","3,050",336
E14000686,Eddisbury,5,"28,600","14,100",36,"37,400","26,400",16,"21,100","16,500",50,"42,800","28,700",50,"7,900","2,850",392
E14000687,Edmonton,7,"21,800","18,700",34,"30,700","26,500",8,"17,300","16,400",43,"32,300","27,100",43,"4,260","2,640",183
E14000688,Ellesmere Port and Neston,4,"24,600","17,000",35,"32,500","26,500",14,"20,000","17,600",47,"33,300","25,700",47,"4,720","2,390",221
E14000689,Elmet and Rothwell,5,"31,400","16,400",39,"38,300","27,500",19,"21,400","18,100",57,"41,400","28,100",57,"7,360","2,750",416
E14000690,Eltham,6,"34,000","18,700",36,"43,500","31,600",9,"18,600","16,900",46,"45,200","31,600",46,"8,680","3,390",397
E14000691,Enfield North,6,"23,500","16,000",36,"35,700","28,800",9,"19,800","16,200",46,"37,100","28,900",46,"5,720","2,970",265
E14000692,"Enfield, Southgate",9,"35,900","18,500",39,"50,300","31,200",12,"22,700","18,300",53,"56,200","34,500",53,"12,500","3,730",662
E14000693,Epping Forest,8,"36,700","16,300",39,"50,100","32,100",13,"21,000","17,000",53,"72,800","33,400",53,"19,000","3,680",997
E14000694,Epsom and Ewell,7,"31,600","18,100",44,"52,600","33,500",17,"25,500","20,500",60,"53,800","35,300",60,"11,500","3,830",693
E14000695,Erewash,3,"22,500","19,300",39,"29,100","23,500",13,"16,200","14,800",49,"30,500","24,300",49,"3,740","2,130",183
E14000696,Erith and Thamesmead,7,"21,400","18,700",44,"32,200","27,900",8,"14,800","14,100",53,"32,900","27,600",53,"4,300","2,810",226
E14000697,Esher and Walton,8,"89,500","18,200",46,"88,400","39,300",16,"28,800","18,800",63,"92,900","41,800",63,"27,300","5,090","1,720"
E14000698,Exeter,6,"22,300","16,100",40,"31,500","26,600",13,"20,100","16,800",53,"33,900","27,300",53,"4,710","2,700",249
E14000699,Fareham,5,"25,200","19,400",39,"35,100","27,500",17,"21,100","17,700",55,"36,800","29,000",55,"5,600","2,860",308
E14000700,Faversham and Mid Kent,6,"33,700","17,500",43,"35,500","26,500",16,"21,400","16,400",57,"40,100","29,400",57,"6,490","2,810",369
E14000701,Feltham and Heston,7,"21,100","17,200",55,"30,300","25,700",9,"16,600","15,100",66,"31,700","26,300",66,"4,050","2,520",267
E14000702,Filton and Bradley Stoke,5,"21,200","14,200",45,"34,100","28,200",13,"18,700","18,100",57,"35,700","28,700",57,"5,090","2,850",290
E14000703,Finchley and Golders Green,11,"67,400","16,300",47,"60,100","32,400",11,"22,600","16,300",62,"74,300","36,900",62,"19,400","4,080","1,190"
E14000704,Folkestone and Hythe,7,"21,100","15,500",37,"34,200","26,600",21,"20,400","18,200",56,"35,500","26,700",56,"5,450","2,460",307
E14000705,Forest of Dean,6,"18,400","14,600",33,"30,000","25,500",18,"18,300","16,400",49,"31,900","25,300",49,"4,240","2,240",207
E14000706,Fylde,4,"25,900","15,500",34,"34,000","25,100",18,"21,100","17,500",50,"36,700","27,000",50,"5,660","2,520",282
E14000707,Gainsborough,5,"21,700","14,400",37,"31,600","25,400",16,"20,600","18,000",50,"35,100","26,800",50,"5,090","2,530",256
E14000708,Garston and Halewood,3,"26,000","15,200",37,"31,000","24,500",12,"19,600","16,900",47,"33,800","25,300",47,"4,950","2,310",230
E14000709,Gateshead,2,"20,100","12,800",35,"28,500","24,800",9,"16,000","14,500",43,"29,200","24,300",43,"3,430","2,140",147
E14000710,Gedling,4,"22,200","17,800",37,"29,400","25,500",12,"19,000","17,200",48,"31,200","25,900",48,"3,810","2,380",183
E14000711,Gillingham and Rainham,6,"20,500","16,800",41,"32,600","26,200",13,"19,000","17,500",54,"33,000","26,000",54,"4,530","2,380",245
E14000712,Gloucester,5,"21,000","16,700",48,"28,900","25,000",16,"17,300","15,900",61,"29,900","25,000",61,"3,540","2,320",217
E14000713,Gosport,4,"21,200","18,800",36,"31,700","25,900",16,"19,400","17,100",49,"33,000","26,300",49,"4,440","2,450",219
E14000714,Grantham and Stamford,6,"26,400","17,900",42,"33,100","24,600",18,"19,300","16,800",58,"35,600","26,200",58,"5,430","2,420",317
E14000715,Gravesham,6,"25,900","20,800",41,"35,100","28,000",13,"19,200","17,400",54,"36,500","28,600",54,"5,520","2,920",296
E14000716,Great Grimsby,2,"14,600","12,800",32,"27,100","23,000",7,"15,800","14,000",36,"28,600","23,300",36,"3,210","1,960",117
E14000717,Great Yarmouth,5,"19,600","15,100",33,"27,100","24,200",16,"18,000","16,300",48,"28,500","23,800",48,"3,280","2,090",158
E14000718,Greenwich and Woolwich,8,"45,300","15,800",60,"53,900","35,000",7,"20,300","16,000",69,"56,300","34,100",69,"12,800","3,860",881
