code_2010,code_2024,old_population_present
E14000661,E14001070,0.29
E14000662,E14001193,1.00
E14000663,E14001194,1.00
E14000664,E14001195,0.95
E14000664,E14001362,0.05
E14000665,E14001217,0.66
E14000665,E14001356,0.33
E14000665,E14001168,0.01
E14000666,E14001196,0.57
E14000666,E14001418,0.26
E14000666,E14001506,0.17
E14000667,E14001199,0.64
E14000667,E14001436,0.28
E14000667,E14001198,0.08
E14000668,E14001198,0.97
E14000668,E14001200,0.03
E14000669,E14001200,0.95
E14000669,E14001199,0.05
E14000670,E14001202,1.00
E14000671,E14001204,1.00
E14000672,E14001316,0.45
E14000672,E14001524,0.37
E14000672,E14001204,0.18
E14000673,E14001205,0.86
E14000673,E14001333,0.14
S14000013,S14000073,0.99
S14000013,S14000074,0.01
S14000014,S14000074,0.96
S14000014,S14000073,0.04
S14000014,S14000008,0.00
S14000015,S14000066,0.77
S14000015,S14000075,0.23
S14000015,S14000065,0.00
S14000016,S14000075,0.95
S14000016,S14000065,0.05
S14000017,S14000076,0.88
S14000017,S14000071,0.12
W07000061,W07000096,1.00
E14000674,E14001207,0.89
E14000674,E14001209,0.11
E14000675,E14001208,0.98
E14000675,E14001209,0.02
E14000675,E14001207,0.00
E14000676,E14001209,1.00
E14000677,E14001211,1.00
N06000005,N05000005,0.97
N06000005,N05000012,0.02
N06000005,N05000014,0.01
N06000005,N05000002,0.01
E14000678,E14001232,0.75
E14000678,E14001291,0.25
E14000678,E14001231,0.01
S14000018,S14000097,1.00
S14000018,S14000072,0.00
S14000018,S14000086,0.00
E14000679,E14001213,0.78
E14000679,E14001576,0.22
E14000680,E14001214,0.65
E14000680,E14001234,0.35
S14000019,S14000077,0.91
S14000019,S14000092,0.09
S14000019,S14000104,0.00
S14000019,S14000074,0.00
N06000006,N05000006,0.99
S14000020,S14000096,0.88
S14000020,S14000078,0.12
S14000021,S14000021,1.00
E14000681,E14001215,0.76
E14000681,E14001201,0.24
E14000682,E14001218,1.00
E14000683,E14001127,0.79
E14000683,E14001250,0.21
E14000684,E14001219,0.93
E14000684,E14001330,0.07
E14000685,E14001220,0.57
E14000685,E14001263,0.43
E14000686,E14001164,0.55
E14000686,E14001361,0.41
E14000686,E14001455,0.03
E14000686,E14001185,0.01
E14000686,E14001178,0.00
S14000022,S14000078,0.95
S14000022,S14000080,0.05
S14000023,S14000079,0.91
S14000023,S14000082,0.09
S14000024,S14000080,1.00
S14000024,S14000081,0.00
S14000024,S14000078,0.00
S14000025,S14000081,1.00
S14000026,S14000082,0.93
S14000026,S14000079,0.07
E14000687,E14001221,0.82
E14000687,E14001225,0.16
E14000687,E14001503,0.02
E14000688,E14001222,0.70
E14000688,E14001163,0.22
E14000688,E14001455,0.07
E14000689,E14001582,0.39
E14000689,E14001464,0.22
E14000689,E14001320,0.20
E14000689,E14001560,0.20
E14000690,E14001223,0.86
E14000690,E14001229,0.14
E14000691,E14001225,0.97
E14000691,E14001503,0.03
E14000691,E14001221,0.00
E14000692,E14001503,0.68
E14000692,E14001221,0.29
E14000692,E14001225,0.03
E14000693,E14001226,1.00
E14000694,E14001227,0.86
E14000694,E14001442,0.14
E14000695,E14001228,1.00
E14000696,E14001229,0.85
E14000696,E14001089,0.15
E14000697,E14001230,0.83
E14000697,E14001456,0.17
E14000698,E14001231,0.88
E14000698,E14001232,0.12
S14000028,S14000083,0.73
S14000028,S14000064,0.27
E14000699,E14001233,0.54
E14000699,E14001263,0.46
E14000700,E14001235,0.88
E14000700,E14001570,0.12
E14000701,E14001236,0.92
E14000701,E14001124,0.08
N06000007,N05000007,0.96
N06000007,N05000010,0.04
E14000702,E14001237,0.83
E14000702,E14001133,0.09
E14000702,E14001545,0.07
E14000703,E14001238,1.00
E14000703,E14001169,0.00
E14000703,E14001293,0.00
E14000704,E14001239,0.80
E14000704,E14001069,0.18
E14000704,E14001570,0.02
E14000705,E14001240,1.00
N06000008,N05000008,0.94
N06000008,N05000006,0.03
N06000008,N05000018,0.02
E14000706,E14001242,0.92
E14000706,E14001433,0.08
E14000707,E14001243,0.97
E14000707,E14001343,0.03
E14000708,E14001337,0.80
E14000708,E14001584,0.20
E14000709,E14001244,0.80
E14000709,E14001307,0.20
E14000710,E14001245,1.00
E14000711,E14001246,1.00
S14000029,S14000084,0.45
S14000029,S14000085,0.25
S14000029,S14000088,0.18
S14000029,S14000087,0.09
S14000029,S14000086,0.04
S14000030,S14000084,0.58
S14000030,S14000086,0.40
S14000030,S14000072,0.01
S14000031,S14000085,0.74
S14000031,S14000089,0.26
S14000032,S14000086,0.77
S14000032,S14000085,0.23
S14000032,S14000097,0.00
S14000033,S14000089,0.95
S14000033,S14000106,0.04
S14000033,S14000085,0.01
S14000034,S14000087,0.91
S14000034,S14000088,0.07
S14000034,S14000084,0.02
S14000035,S14000088,0.83
S14000035,S14000101,0.17
S14000035,S14000087,0.00
S14000036,S14000090,0.84
S14000036,S14000100,0.13
S14000036,S14000071,0.03
E14000712,E14001248,0.95
E14000712,E14001542,0.05
S14000037,S14000091,0.70
S14000037,S14000060,0.30
E14000713,E14001252,1.00
W07000046,W07000097,0.91
W07000046,W07000103,0.09
E14000714,E14001253,0.66
E14000714,E14001458,0.34
E14000715,E14001254,1.00
E14000716,E14001255,0.87
E14000716,E14001128,0.13
E14000717,E14001256,1.00
E14000718,E14001257,0.86
E14000718,E14001229,0.14
E14000719,E14001258,0.75
E14000719,E14001249,0.23
E14000719,E14001201,0.02
E14000720,E14001259,0.77
E14000720,E14001553,0.16
